,kaptCode,Complex_Name
113,A41279914,은평뉴타운마고정2단지
114,A41279906,은평뉴타운상림마을10단지
115,A41279911,은평뉴타운박석고개제12단지아파트
116,A41279909,은평뉴타운박석고개13단지아파트
117,A41279930,은평뉴타운폭포동4단지제1
118,A41279903,은평뉴타운상림마을7단지
119,A41279907,은평뉴타운상림마을11단지
120,A12220001,은평뉴타운상림마을6단지 제1아파트(8단지 푸르지오)
121,A41279928,은평뉴타운구파발10단지2관리
122,A41279901,은평뉴타운상림마을14단지
123,A41279932,은평뉴타운기자촌11단지
124,A41279919,은평뉴타운 우물골(두산위브4단지)
125,A41279921,은평뉴타운구파발9단지1관리
126,A10025677,은뜨락행복주택
127,A10026842,은평지웰테라스
128,A10026414,은평뉴타운솔하임
129,A10025765,은평스카이뷰자이아파트
130,A10026376,은평뉴타운 한화꿈에그린
131,A10024123,은평뉴타운폭포동4단지제4관리아파트
132,A10024320,은평뉴타운 엘크루아파트
0,A14280502,미아동부센트레빌
1,A14272304,SK북한산시티아파트
2,A14272303,한일유앤아이
3,A14282301,미아2동경남아너스빌
4,A14210001,삼각산아이원임대
5,A14272311,SK북한산시티임대
6,A14272306,미아경남아너스빌
7,A14272308,래미안트리베라2차
8,A14272305,벽산라이브파크
9,A14272313,송천센트레빌
10,A14272310,벽산라이브파크2차
11,A14272307,미아현대
12,A14281701,현대성우
13,A14210002,삼각산아이원
14,A14277601,래미안미아1차
15,A14272309,래미안트리베라1차
16,A14272314,미아뉴타운두산위브트레지움
17,A10026947,꿈의숲롯데캐슬아파트
18,A10023829,꿈의숲한신더휴아파트
19,A10024034,수유역푸르지오시티
20,A10025241,꿈의숲 해링턴 플레이스 아파트
21,A14206303,번동한솔솔파크
22,A14206307,번동솔그린
23,A14206202,번동주공4단지
24,A14206306,번동신원
25,A14270301,수유역두산위브
26,A14206302,번동한진
27,A14206001,번동삼성
28,A14286104,번동한양
29,A14206002,번동금호어울림
30,A14206003,번동1단지주공아파트
31,A14206305,번동기산그린
32,A14206310,번동주공2단지
33,A14286203,번동주공5단지
34,A14286108,해모로
35,A14206301,번동동문아파트
36,A14276311,번동주공3단지
37,A14206201,오동공원현대홈타운
38,A14206004,쌍용
39,A14278101,수유극동아파트
40,A14207203,수유벽산
41,A14207201,래미안수유(임대)
42,A14207202,래미안수유
43,A10023955,에피소드수유838
44,A10023268,칸타빌수유팰리스
45,A14209001,우이대우
46,A14287102,우이동성원아파트
0,A13407204,명일신동아
1,A13407104,명일삼익그린2차
2,A13478601,고덕현대아파트
3,A13407002,"명일삼익가든1,2차"
4,A13482706,고덕주공9단지
5,A13482801,명일현대
6,A13407201,명일삼익그린11차
7,A13407202,명일삼환아파트
8,A13482603,명일한양
9,A13482505,명일동우성
10,A13478602,명일진로
11,A10025415,래미안솔베뉴
12,A10026002,삼환고덕아파트
13,A13483002,명일지에스
14,A13480401,고덕현대
15,A13408003,고덕아이파크아파트
16,A13480402,고덕주공8단지상록
17,A13480403,고덕아남
18,A10027207,래미안힐스테이트 고덕 
19,A10025263,고덕 그라시움 아파트
20,A10024562,고덕센트럴푸르지오
21,A13483803,명일중앙하이츠아파트
22,A13472701,고덕리엔파크3단지
23,A13409001,상일동아
24,A10026403,고덕숲아이파크아파트
25,A10025112,고덕롯데캐슬베네루체
26,A10025104,고덕센트럴 아이파크
27,A10023855,강동리엔파크13단지아파트
28,A10024420,강동리엔파크11단지
29,A10024473,고덕자이 아파트
30,A10024798,상일우성타운
31,A10025010,고덕 아르테온 아파트
32,A10024412,강동리엔파크 14단지 아파트
33,A13481305,길동우성2차
34,A13480803,길동현대아파트
35,A13488104,길동GS강동자이
36,A13470104,청광플러스원큐브3차
37,A13470103,길동라인
38,A13470101,길동삼익파크
39,A13481001,길동우성1차
40,A13470102,강동QV2차
41,A10024972,길동신동아아파트
42,A10024932,e편한세상 강동에코포레 아파트
43,A13470503,둔촌푸르지오
44,A13406204,둔촌신동아
45,A13406003,둔촌하이츠
46,A13406002,둔촌동동아
47,A13470502,신성둔촌미소지움2차
48,A13406005,둔촌프라자
49,A13406205,신성둔촌미소지움1차
50,A13481802,둔촌현대4차
51,A13406201,둔촌현대2차
52,A13470504,둔촌현대3차
53,A13406007,둔촌성원
54,A13485401,암사동한솔아파트
55,A13405002,암사삼성광나루
56,A13405201,암사선사현대
57,A13471501,암사한강현대
58,A13405003,프라이어팰리스
59,A13485302,강동롯데캐슬퍼스트아파트
60,A13485301,강동현대홈타운
61,A10025174,힐스테이트강동리버뷰
62,A13484501,둔촌역청구아파트
63,A13403001,성내2차e-편한세상
64,A13484102,성내코오롱
65,A13403002,성내성안청구
66,A13403101,성내삼성
67,A13484201,성내1차e-편한세상
68,A13484004,SK허브진주상복합아파트
69,A13484003,성내현대
70,A13403005,성내동신일유토빌
71,A10027354,올림픽파크한양수자인
72,A13403004,LIG건영강동리가
73,A13402103,천호우성
74,A13487102,천호현대타워
75,A13402304,천호태영임대
76,A13402002,천호태영
77,A13486703,천호유원
78,A13486102,천호금호
79,A13402003,대우한강베네시티
80,A13486504,천호동아하이빌
81,A13475001,천호동아코아
82,A13486401,천호현대
83,A13402202,천호e-편한세상
84,A13486705,천호중앙하이츠
85,A13486601,천호한신
86,A13402001,천호두산위브센티움
87,A13402305,천호삼성아파트
88,A13402005,천호롯데
89,A13402204,강변그대가리버뷰
90,A13486701,천호삼익
91,A13402004,강동이루미
92,A13472201,천호삼성임대
93,A10027948,강동역신동아파밀리에
94,A10026195,강변그대가갤럭시아파트
95,A10026852,래미안강동팰리스
96,A10023670,천호역한강청년주택
97,A10023695,힐데스하임천호아파트
98,A10023979,어바니엘 천호
99,A10024134,브라운스톤 암사아파트
100,A13410012,고덕리엔파크1단지
101,A13410005,강일리버파크10단지
102,A13410002,강일리버파크8단지
103,A13410008,강일리버파크3단지
104,A13410001,강일리버파크1단지
105,A13410011,고덕리엔파크2단지
106,A13410003,강일리버파크2단지
107,A13410007,강일리버파크9단지
108,A13410006,강일리버파크4단지
109,A13410004,강일리버파크6단지
110,A13410010,강일리버파크7단지
111,A13410009,강일리버파크5단지
112,A10027638,강일리버파크11단지
113,A10024410,강동리엔파크9단지아파트
114,A10024422,강동리버스트6단지
115,A10024487,강일푸르내
116,A10024468,강동리버스트4단지
117,A10024440,강동리버스트 8단지
118,A10024421,강동 리버스트 7단지 아파트
0,A13508012,테헤란 IPARK
1,A13579501,역삼개나리푸르지오
2,A13592604,역삼푸르지오
3,A13508009,역삼아이파크
4,A13508004,역삼동부센트레빌
5,A13579504,한화진넥스빌
6,A13508003,대우디오빌플러스
7,A13508010,역삼쌍용플래티넘밸류
8,A13508002,역삼경남
9,A13579506,개나리SKVIEW
10,A13508006,역삼래미안펜타빌
11,A13508011,래미안그레이튼
12,A13592601,역삼개나리래미안
13,A13592002,대우디오빌역삼
14,A13592706,역삼래미안
15,A13579505,래미안그레이튼3차
16,A13508001,역삼휴먼터치빌
17,A13508005,역삼한스빌아파트
18,A13579503,역삼2차아이파크
19,A13508013,역삼SK허브젠
20,A13592605,역삼e-편한세상
21,A13591402,역삼금호어울림
22,A10027474,역삼자이아파트
23,A10023825,강남센트럴아이파크
24,A10024820,현대까르띠에710아파트
25,A10024813,롯데캐슬노블
26,A13599303,개포주공6단지
27,A13594007,대청
28,A13580602,개포경남아파트
29,A13524004,개포우성3차
30,A13599402,개포주공5단지
31,A13524005,개포현대1차
32,A13593908,SH공사대치1단지
33,A13580001,개포현대3차
34,A13524006,개포2차 현대아파트
35,A13593901,개포자이아파트
36,A13524009,개포대치2단지
37,A13580002,개포우성8차
38,A13599301,개포주공7단지
39,A10025203,디에이치 아너힐즈
40,A10025675,래미안블레스티지
41,A10023565,개포6차우성아파트
42,A10024564,개포래미안포레스트
43,A10023996,개포더샵트리에
44,A10023348,개포자이프레지던스
45,A13510003,청담대우유로카운티
46,A13510001,청담삼성1차
47,A13510201,청담삼환
48,A13510203,청담래미안
49,A13510102,청담현대3차
50,A13510006,청담대림
51,A13510103,삼성청담공원
52,A13510202,청담2차현대아파트
53,A13576201,청담건영아파트
54,A13510005,청담삼성진흥
55,A13510002,청담휴먼스타빌
56,A13510009,청담래미안로이뷰
57,A13510007,청담자이
58,A10025280,청담아이파크아파트
59,A10025755,청담신동아아파트
60,A10024640,청담2차e편한세상아파트
61,A10024186,청담우방아파트
62,A13509001,삼성현대
63,A13570501,삼성동힐스테이트2단지
64,A13550701,삼성동중앙하이츠빌리지
65,A13509005,삼성래미안2차
66,A13509004,삼성한솔
